filename,REFCODE,cage_no,pore_diam
ABIKUU_extracted_nosolv_0.json,ABIKUU,0,4.779188784825818
ABIKUU_extracted_nosolv_1.json,ABIKUU,1,4.778690711494129
ABIKUU_extracted_nosolv_2.json,ABIKUU,2,4.778690711459962
ABIKUU_extracted_nosolv_3.json,ABIKUU,3,4.7786914608752475
ABIKUU_extracted_nosolv_4.json,ABIKUU,4,4.788770789616505
ABIKUU_extracted_nosolv_5.json,ABIKUU,5,4.778179983492791
ABIKUU_extracted_nosolv_6.json,ABIKUU,6,4.778186594540458
ABIKUU_extracted_nosolv_7.json,ABIKUU,7,4.777663173876073
ABILAB_extracted_nosolv_0.json,ABILAB,0,4.9549944977911125
ABILAB_extracted_nosolv_1.json,ABILAB,1,4.954984936979745
ABILAB_extracted_nosolv_2.json,ABILAB,2,4.954638686069748
ABILAB_extracted_nosolv_3.json,ABILAB,3,4.902988964456579
ABILAB_extracted_nosolv_4.json,ABILAB,4,4.954639798680558
ABILAB_extracted_nosolv_5.json,ABILAB,5,4.937681709311896
ABILEF_extracted_nosolv_0.json,ABILEF,0,2.0227751965527365
ABILEF_extracted_nosolv_1.json,ABILEF,1,5.403642452351546
ABILEF_extracted_nosolv_10.json,ABILEF,10,5.287156656308515
ABILEF_extracted_nosolv_11.json,ABILEF,11,1.4970238544666734
ABILEF_extracted_nosolv_2.json,ABILEF,2,5.403664204633765
ABILEF_extracted_nosolv_3.json,ABILEF,3,5.215251573182854
ABILEF_extracted_nosolv_4.json,ABILEF,4,5.287262016222062
ABILEF_extracted_nosolv_5.json,ABILEF,5,1.4969985385079334
ABILEF_extracted_nosolv_6.json,ABILEF,6,5.205874949491834
ABILEF_extracted_nosolv_7.json,ABILEF,7,5.403645433716209
ABILEF_extracted_nosolv_8.json,ABILEF,8,2.022623523198814
ABILEF_extracted_nosolv_9.json,ABILEF,9,5.403646047117176
ABILIJ_extracted_nosolv_0.json,ABILIJ,0,4.324686177325191
ABILIJ_extracted_nosolv_1.json,ABILIJ,1,5.613233079699544
ABILIJ_extracted_nosolv_10.json,ABILIJ,10,5.612708189446144
ABILIJ_extracted_nosolv_11.json,ABILIJ,11,5.437873150777516
ABILIJ_extracted_nosolv_2.json,ABILIJ,2,5.613302753800841
ABILIJ_extracted_nosolv_3.json,ABILIJ,3,5.411550690306628
ABILIJ_extracted_nosolv_4.json,ABILIJ,4,5.553853945927763
ABILIJ_extracted_nosolv_5.json,ABILIJ,5,1.4351918094222111
ABILIJ_extracted_nosolv_6.json,ABILIJ,6,1.4868867487426507
ABILIJ_extracted_nosolv_7.json,ABILIJ,7,5.528471571637512
ABILIJ_extracted_nosolv_8.json,ABILIJ,8,5.613158624892911
ABILIJ_extracted_nosolv_9.json,ABILIJ,9,4.3249049210523225
ABILOP_extracted_nosolv_0.json,ABILOP,0,3.514299484419291
ABILOP_extracted_nosolv_1.json,ABILOP,1,3.6855756456602715
ABILOP_extracted_nosolv_2.json,ABILOP,2,3.541858859875189
ABILUV_extracted_nosolv_0.json,ABILUV,0,3.8583957319514837
ABILUV_extracted_nosolv_1.json,ABILUV,1,3.8452798769137586
ABILUV_extracted_nosolv_2.json,ABILUV,2,3.9550617866416515
ABIMAC_extracted_nosolv_0.json,ABIMAC,0,3.645330619400626
ABIMAC_extracted_nosolv_1.json,ABIMAC,1,3.5861321662442642
ABIMAC_extracted_nosolv_2.json,ABIMAC,2,3.653227339222148
ABIMEG_extracted_nosolv_0.json,ABIMEG,0,3.726575531154348
ABIMEG_extracted_nosolv_1.json,ABIMEG,1,3.727201527462253
ABIMEG_extracted_nosolv_2.json,ABIMEG,2,3.72676589816121
ABIMEG_extracted_nosolv_3.json,ABIMEG,3,3.729863549042777
ABIMIK_extracted_nosolv_0.json,ABIMIK,0,3.4419314311014495
ABIMIK_extracted_nosolv_1.json,ABIMIK,1,3.4418254452586594
ABIMIK_extracted_nosolv_2.json,ABIMIK,2,3.4416440052444073
ABIMIK_extracted_nosolv_3.json,ABIMIK,3,3.442100442490815
ABIMUW_extracted_nosolv_0.json,ABIMUW,0,1.1208165727742192
ABIMUW_extracted_nosolv_1.json,ABIMUW,1,1.121687919784184
ABIMUW_extracted_nosolv_2.json,ABIMUW,2,1.1214012663720552
ABIMUW_extracted_nosolv_3.json,ABIMUW,3,1.1195735244661722
ABIMUW_extracted_nosolv_4.json,ABIMUW,4,1.0680119666005807
ABIMUW_extracted_nosolv_5.json,ABIMUW,5,1.1210909343810909
ABINAD_extracted_nosolv_0.json,ABINAD,0,1.1962605483166953
ABINAD_extracted_nosolv_1.json,ABINAD,1,1.2499111455619114
ABINAD_extracted_nosolv_2.json,ABINAD,2,1.2420497819722862
ABINAD_extracted_nosolv_3.json,ABINAD,3,1.2450393845609855
ABINAD_extracted_nosolv_4.json,ABINAD,4,1.2445161839254317
ABINAD_extracted_nosolv_5.json,ABINAD,5,1.2491626464493444
ABINIL_extracted_nosolv_0.json,ABINIL,0,6.24353775160284
ABINIL_extracted_nosolv_1.json,ABINIL,1,6.508927830670247
ABINIL_extracted_nosolv_10.json,ABINIL,10,6.334086262273267
ABINIL_extracted_nosolv_11.json,ABINIL,11,6.243022661510592
ABINIL_extracted_nosolv_2.json,ABINIL,2,6.294043231147876
ABINIL_extracted_nosolv_3.json,ABINIL,3,6.508254092796788
ABINIL_extracted_nosolv_4.json,ABINIL,4,6.508854559033681
ABINIL_extracted_nosolv_5.json,ABINIL,5,6.302133412899185
ABINIL_extracted_nosolv_6.json,ABINIL,6,6.433225253845686
ABINIL_extracted_nosolv_7.json,ABINIL,7,6.147602374907391
ABINIL_extracted_nosolv_8.json,ABINIL,8,6.302594508630108
ABINIL_extracted_nosolv_9.json,ABINIL,9,6.4333564889390455
ABINUX_extracted_nosolv_0.json,ABINUX,0,2.2746642324233703
ABINUX_extracted_nosolv_1.json,ABINUX,1,2.2744456412223983
ABINUX_extracted_nosolv_2.json,ABINUX,2,2.2748429807269885
ABINUX_extracted_nosolv_3.json,ABINUX,3,2.2748146183920332
ABINUX_extracted_nosolv_4.json,ABINUX,4,2.2748303524360147
ABINUX_extracted_nosolv_5.json,ABINUX,5,2.274947367640149
ABIPAF_extracted_nosolv_0.json,ABIPAF,0,6.366994921485761
ABIPAF_extracted_nosolv_1.json,ABIPAF,1,6.3295525195162625
ABIPAF_extracted_nosolv_2.json,ABIPAF,2,6.366959882216662
ABIPAF_extracted_nosolv_3.json,ABIPAF,3,6.366961182031163
ABIPAF_extracted_nosolv_4.json,ABIPAF,4,6.366999154470843
ABIPAF_extracted_nosolv_5.json,ABIPAF,5,6.353229903877995
ABIPEJ_extracted_nosolv_0.json,ABIPEJ,0,5.902962280554261
ABIPEJ_extracted_nosolv_1.json,ABIPEJ,1,5.902958667242402
ABIPEJ_extracted_nosolv_2.json,ABIPEJ,2,5.902941692217551
ABIPEJ_extracted_nosolv_3.json,ABIPEJ,3,5.902632749458794
ABIPEJ_extracted_nosolv_4.json,ABIPEJ,4,5.900859262408664
ABIPEJ_extracted_nosolv_5.json,ABIPEJ,5,5.902958991351555
ABIQEK_extracted_nosolv_0.json,ABIQEK,0,4.107528703940098
ABIQEK_extracted_nosolv_1.json,ABIQEK,1,5.331615884416589
ABIQEK_extracted_nosolv_2.json,ABIQEK,2,5.3545957565682905
ABIQEK_extracted_nosolv_3.json,ABIQEK,3,5.331610875266602
ABIQEK_extracted_nosolv_4.json,ABIQEK,4,4.107475635541009
