ABIKUU,n,y
ABILAB,n,y
ABILEF,n,y
ABILIJ,y,y
ABILOP,n,y
ABILUV,y,y
ABIMAC,n,y
ABIMEG,n,y
ABIMIK,n,y
ABIMUW,n,n
ABINAD,n,n
ABINIL,n,y
ABINUX,n,y
ABIPAF,y,y
ABIPEJ,n,y
ABIQEK,n,n
ABIQIO,y,y
AJOHUD,n,y
AJOJAL,n,y
BEQWID,n,n
BIMXOL,n,y
CACBEO,n,y
CAHTEM,n,y
CAHTEM01,n,y
CAHTEM02,n,y
CAHTEM03,n,y
CAHTEM04,n,y
CAHVAK,n,y
CAHVAK01,n,y
CAHVAK02,n,y
CAHVAK03,n,y
CAHVAK04,n,y
CANHOR,n,n
CAXFIT,n,n
CAXFOZ,n,y
CAXROJ01,n,y
CETPUP,y,y
CUBZUV,y,y
DANYAV,y,y
DANYEZ,y,y
DANYID,y,y
DEDTOY,n,y
DEDTUE,n,y
DEDVAM,n,y
DEDVEQ,n,y
DENNAO,n,y
DOPJID,y,y
EGIRIV,n,n
EGIROB,n,n
EKUKUR,y,y
ELAKUY,n,y
ELALAF,n,y
EPIRUR,n,y
EQEMEU,y,y
EQEXIJ,y,y
EQEXOP,y,y
EQEXUV,n,y
EREGUD,n,y
EVITUA,y,y
EVIVAI,y,y
EVIVEM,y,y
EXESAC,y,y
FACWIP01,n,y
FACWIP02,n,n
FAXXIM,n,n
FEBQEK,n,y
FEQXAC,n,y
FIFTAR,n,y
FIFTEV,n,y
FIFTIZ,n,y
FIFTOF,n,y
FOMLUQ,y,y
FOPHAU,n,y
FOQTEM,n,y
FOQTIQ,n,y
FOQTOW,n,y
FOQTUC,n,n
FORFEZ,n,y
FOWZIA,n,n
FOXLAG,y,y
GABKUP,n,y
GANCUV,n,n
GANDAC,n,n
GANDEG,n,y
GANDOQ,n,y
GANDUW,n,y
GASHEQ,y,y
GEGZIE,y,y
GEGZOK,y,y
GEXBIX,y,y
GEXJIC,n,n
GICGUX,y,y
GIPWUA,y,y
GIPXAH,n,n
GIPXEL,y,y
GIPXIP,y,y
GIYBIA,n,y
GUHMEB,n,n
GUHMEB02,n,n
GUMCIB,y,y
HAJNEM,n,y
HAJNIQ,n,y
HEHYOL,y,y
HEHYUR,y,y
HEVQOQ,n,y
HEVQUW,n,y
HEVRAD,n,y
HEVRAD01,n,y
HEWKEC,y,y
HEYTUD,n,y
IFAJOR,n,y
IFAJUX,n,y
IFAKAE,n,y
IFAKEI,n,y
IFAKIM,n,y
IFAVOC,y,y
IFOLUM,n,y
IYEMAC,n,y
IYEMEG,n,y
IYEMIK,y,y
IZUYOR,n,n
JAGFUS,n,y
JEZHOL,n,n
JIHJEP,n,y
JIVVUI,n,n
JIVWAP,y,y
JODMOE,n,n
JORVIV,n,y
JORVOB,n,y
KATJAS,y,y
KATJEW,y,y
KATXAE10,n,y
KENRED,n,y
KOJMUR,n,n
KOMXAL,n,n
KUGKIG,n,n
KUJGAX,n,y
KUWZEI,n,n
KUWZIM,n,n
LAXWEP,n,n
LAXWIT,n,n
LEBBIF,n,n
LEBBOL,n,y
LEBBUR,n,y
LEFPEU,n,y
LEJNUL,n,y
LEJPAT,n,y
LEJPAT01,n,y
LEJPIB,n,y
LIKDIV,y,y
LIKDOB,y,y
LIKDUH,y,y
LISTOX,n,n
