Entry,Index,NAME
reanalysis|ABIMOQ|0,1,ABIMOQ
reanalysis|ABINEH|1,2,ABINEH
reanalysis|BAQDIJ|2,3,BAQDIJ
reanalysis|DENMIV|3,4,DENMIV
reanalysis|DENMUH|4,5,DENMUH
reanalysis|DOGFUA|5,6,DOGFUA
reanalysis|EVITIO|6,7,EVITIO
reanalysis|EVITOU|7,8,EVITOU
reanalysis|FOWZIA|8,9,FOWZIA
reanalysis|GEWZOA|9,10,GEWZOA
reanalysis|MOTWUP|10,11,MOTWUP
reanalysis|MOTWUP02|11,12,MOTWUP02
reanalysis|MOTWUP03|12,13,MOTWUP03
reanalysis|MOTWUP04|13,14,MOTWUP04
reanalysis|MOTWUP05|14,15,MOTWUP05
reanalysis|MOTYUR|15,16,MOTYUR
reanalysis|MOTZEC|16,17,MOTZEC
reanalysis|NERYIV|17,18,NERYIV
reanalysis|WAJJAS|18,19,WAJJAS
reanalysis|WESDAC|19,20,WESDAC
reanalysis|WESDEG|20,21,WESDEG
reanalysis|WESDOQ|21,22,WESDOQ
reanalysis|WESDUW|22,23,WESDUW
reanalysis|WIQHOW|23,24,WIQHOW
