Entry,Index,NAME
viz_select_final|ABIKUU|0,1,ABIKUU
viz_select_final|ABILAB|1,2,ABILAB
viz_select_final|ABILEF|2,3,ABILEF
viz_select_final|ABILIJ|3,4,ABILIJ
viz_select_final|ABILOP|4,5,ABILOP
viz_select_final|ABILUV|5,6,ABILUV
viz_select_final|ABIMAC|6,7,ABIMAC
viz_select_final|ABIMEG|7,8,ABIMEG
viz_select_final|ABIMIK|8,9,ABIMIK
viz_select_final|ABIMUW|9,10,ABIMUW
viz_select_final|ABINAD|10,11,ABINAD
viz_select_final|ABINIL|11,12,ABINIL
viz_select_final|ABINUX|12,13,ABINUX
viz_select_final|ABIPAF|13,14,ABIPAF
viz_select_final|ABIPEJ|14,15,ABIPEJ
viz_select_final|ABIQEK|15,16,ABIQEK
viz_select_final|ABIQIO|16,17,ABIQIO
viz_select_final|AJOHUD|17,18,AJOHUD
viz_select_final|AJOJAL|18,19,AJOJAL
viz_select_final|BEQWID|19,20,BEQWID
viz_select_final|CACBEO|20,21,CACBEO
viz_select_final|CAHTEM|21,22,CAHTEM
viz_select_final|CAHTEM01|22,23,CAHTEM01
viz_select_final|CAHTEM02|23,24,CAHTEM02
viz_select_final|CAHTEM03|24,25,CAHTEM03
viz_select_final|CAHTEM04|25,26,CAHTEM04
viz_select_final|CAHVAK|26,27,CAHVAK
viz_select_final|CAHVAK01|27,28,CAHVAK01
viz_select_final|CAHVAK02|28,29,CAHVAK02
viz_select_final|CAHVAK03|29,30,CAHVAK03
viz_select_final|CAHVAK04|30,31,CAHVAK04
viz_select_final|CANHOR|31,32,CANHOR
viz_select_final|CAXFIT|32,33,CAXFIT
viz_select_final|CAXFOZ|33,34,CAXFOZ
viz_select_final|CAXROJ01|34,35,CAXROJ01
viz_select_final|CETPUP|35,36,CETPUP
viz_select_final|CUBZUV|36,37,CUBZUV
viz_select_final|DANYAV|37,38,DANYAV
viz_select_final|DANYEZ|38,39,DANYEZ
viz_select_final|DANYID|39,40,DANYID
viz_select_final|DEDTOY|40,41,DEDTOY
viz_select_final|DEDTUE|41,42,DEDTUE
viz_select_final|DEDVAM|42,43,DEDVAM
viz_select_final|DEDVEQ|43,44,DEDVEQ
viz_select_final|DENNAO|44,45,DENNAO
viz_select_final|DOPJID|45,46,DOPJID
viz_select_final|EKUKUR|46,47,EKUKUR
viz_select_final|ELAKUY|47,48,ELAKUY
viz_select_final|ELALAF|48,49,ELALAF
viz_select_final|EPIRUR|49,50,EPIRUR
viz_select_final|EQEMEU|50,51,EQEMEU
viz_select_final|EQEXIJ|51,52,EQEXIJ
viz_select_final|EQEXOP|52,53,EQEXOP
viz_select_final|EQEXUV|53,54,EQEXUV
viz_select_final|EVITUA|54,55,EVITUA
viz_select_final|EVIVAI|55,56,EVIVAI
viz_select_final|EVIVEM|56,57,EVIVEM
viz_select_final|EXESAC|57,58,EXESAC
viz_select_final|FACWIP01|58,59,FACWIP01
viz_select_final|FACWIP02|59,60,FACWIP02
viz_select_final|FAXXIM|60,61,FAXXIM
viz_select_final|FEBQEK|61,62,FEBQEK
viz_select_final|FEQXAC|62,63,FEQXAC
viz_select_final|FIFTAR|63,64,FIFTAR
viz_select_final|FIFTEV|64,65,FIFTEV
viz_select_final|FIFTIZ|65,66,FIFTIZ
viz_select_final|FIFTOF|66,67,FIFTOF
viz_select_final|FOMLUQ|67,68,FOMLUQ
viz_select_final|FOPHAU|68,69,FOPHAU
viz_select_final|FOQTEM|69,70,FOQTEM
viz_select_final|FOQTIQ|70,71,FOQTIQ
viz_select_final|FOQTOW|71,72,FOQTOW
viz_select_final|FOQTUC|72,73,FOQTUC
viz_select_final|FORFEZ|73,74,FORFEZ
viz_select_final|FOXLAG|74,75,FOXLAG
viz_select_final|GABKUP|75,76,GABKUP
viz_select_final|GANCUV|76,77,GANCUV
viz_select_final|GANDAC|77,78,GANDAC
viz_select_final|GANDEG|78,79,GANDEG
viz_select_final|GANDOQ|79,80,GANDOQ
viz_select_final|GANDUW|80,81,GANDUW
viz_select_final|GASHEQ|81,82,GASHEQ
viz_select_final|GEGZIE|82,83,GEGZIE
viz_select_final|GEGZOK|83,84,GEGZOK
viz_select_final|GEXBIX|84,85,GEXBIX
viz_select_final|GEXJIC|85,86,GEXJIC
viz_select_final|GICGUX|86,87,GICGUX
viz_select_final|GIPWUA|87,88,GIPWUA
viz_select_final|GIPXAH|88,89,GIPXAH
viz_select_final|GIPXEL|89,90,GIPXEL
viz_select_final|GIPXIP|90,91,GIPXIP
viz_select_final|GUHMEB|91,92,GUHMEB
viz_select_final|GUHMEB02|92,93,GUHMEB02
viz_select_final|GUMCIB|93,94,GUMCIB
viz_select_final|HAJNEM|94,95,HAJNEM
viz_select_final|HAJNIQ|95,96,HAJNIQ
viz_select_final|HEHYOL|96,97,HEHYOL
viz_select_final|HEHYUR|97,98,HEHYUR
viz_select_final|HEVQOQ|98,99,HEVQOQ
viz_select_final|HEVQUW|99,100,HEVQUW
viz_select_final|HEVRAD|100,101,HEVRAD
viz_select_final|HEVRAD01|101,102,HEVRAD01
viz_select_final|HEWKEC|102,103,HEWKEC
viz_select_final|IFAJOR|103,104,IFAJOR
viz_select_final|IFAJUX|104,105,IFAJUX
viz_select_final|IFAKAE|105,106,IFAKAE
viz_select_final|IFAKEI|106,107,IFAKEI
viz_select_final|IFAKIM|107,108,IFAKIM
viz_select_final|IFAVOC|108,109,IFAVOC
viz_select_final|IFOLUM|109,110,IFOLUM
viz_select_final|IYEMAC|110,111,IYEMAC
viz_select_final|IYEMEG|111,112,IYEMEG
viz_select_final|IYEMIK|112,113,IYEMIK
viz_select_final|IZUYOR|113,114,IZUYOR
viz_select_final|JAGFUS|114,115,JAGFUS
viz_select_final|JEZHOL|115,116,JEZHOL
viz_select_final|JIHJEP|116,117,JIHJEP
viz_select_final|JIVVUI|117,118,JIVVUI
viz_select_final|JIVWAP|118,119,JIVWAP
viz_select_final|JODMOE|119,120,JODMOE
viz_select_final|JORVIV|120,121,JORVIV
viz_select_final|JORVOB|121,122,JORVOB
viz_select_final|KATJAS|122,123,KATJAS
viz_select_final|KATJEW|123,124,KATJEW
viz_select_final|KATXAE10|124,125,KATXAE10
viz_select_final|KENRED|125,126,KENRED
viz_select_final|KOJMUR|126,127,KOJMUR
viz_select_final|KOMXAL|127,128,KOMXAL
viz_select_final|KUGKIG|128,129,KUGKIG
viz_select_final|KUJGAX|129,130,KUJGAX
viz_select_final|KUWZEI|130,131,KUWZEI
viz_select_final|KUWZIM|131,132,KUWZIM
viz_select_final|LAXWEP|132,133,LAXWEP
viz_select_final|LAXWIT|133,134,LAXWIT
viz_select_final|LEBBIF|134,135,LEBBIF
viz_select_final|LEBBOL|135,136,LEBBOL
viz_select_final|LEBBUR|136,137,LEBBUR
viz_select_final|LEJNUL|137,138,LEJNUL
viz_select_final|LEJPAT|138,139,LEJPAT
viz_select_final|LEJPAT01|139,140,LEJPAT01
viz_select_final|LEJPIB|140,141,LEJPIB
viz_select_final|LIKDIV|141,142,LIKDIV
viz_select_final|LIKDOB|142,143,LIKDOB
viz_select_final|LIKDUH|143,144,LIKDUH
viz_select_final|LISTOX|144,145,LISTOX
viz_select_final|LITJAZ|145,146,LITJAZ
viz_select_final|LITJED|146,147,LITJED
viz_select_final|LODFEQ|147,148,LODFEQ
viz_select_final|LOJMIH|148,149,LOJMIH
viz_select_final|LOPKIM|149,150,LOPKIM
viz_select_final|MAGJUC|150,151,MAGJUC
viz_select_final|MALGUD|151,152,MALGUD
viz_select_final|MALHAK|152,153,MALHAK
viz_select_final|MALHEO|153,154,MALHEO
viz_select_final|MAVVAI|154,155,MAVVAI
viz_select_final|MESKIE|155,156,MESKIE
viz_select_final|MESTUA|156,157,MESTUA
viz_select_final|MOTWUP01|157,158,MOTWUP01
viz_select_final|MOTZOM|158,159,MOTZOM
viz_select_final|MOVBAC|159,160,MOVBAC
viz_select_final|MOVBUW|160,161,MOVBUW
viz_select_final|MOVCEH|161,162,MOVCEH
viz_select_final|NERYOB|162,163,NERYOB
viz_select_final|NIMMII|163,164,NIMMII
viz_select_final|NODVIN|164,165,NODVIN
viz_select_final|NODVOT|165,166,NODVOT
