ABIKUU,n,y
ABILAB,n,y
ABILEF,n,y
ABILIJ,y,y
ABILOP,n,y
ABILUV,y,y
ABIMAC,n,y
ABIMEG,n,y
ABIMIK,n,y
ABIMUW,n,n
ABINAD,n,n
ABINIL,n,y
ABINUX,n,y
ABIPAF,y,y
ABIPEJ,n,y
ABIQEK,n,n
ABIQIO,y,y
ACIHOK,n,y
ACOKAG,y,y
ADARUU,n,y
AGEPIL,n,n
AGETIR,y,y
AJOQEX,n,n
AJUNOJ,n,y
AKEBEZ,n,n
AKIFAB,n,y
AKUVEH,n,n
AKUVIL,n,n
ALABEV,n,n
ALABIZ,n,n
ALABOF,n,n
ALABOF01,n,y
APEQUJ,n,y
AQIBEJ,y,y
ASEVUP,n,n
ASOWAI,n,n
ASOWEM,n,n
ASOWIQ,y,y
ASOWOW,n,y
ASOXAJ,n,y
ASOXEN,n,n
ASOXOX,n,n
AVAWOJ,n,n
AWALUH,n,n
AWAMAO,y,y
AWAMES,y,y
AWAMIW,y,y
AYOQEK,n,n
AYUBED,n,n
AYUBED01,n,n
AZOMEH,n,n
AZOPOV,n,n
BAGBUJ,n,n
BAGCAQ,n,n
BALHAX,n,y
BALHIG,n,n
BALLEF,n,y
BAMZIA,n,y
BAMZOG,n,n
BARZAX,n,n
BATGUY10,n,n
BEFDIA,n,y
BEFDOG,n,n
BEFDUM,n,y
BEFFAU,n,n
BEGWUG,n,y
BEHFIE,n,y
BEKXIB,y,y
BEQWID,n,n
BEWKOE,n,n
BEXNAT,n,y
BEYLUO,y,y
BICCUL,n,y
BICCUL10,n,y
BIKXUQ,n,y
BOKFEO,n,y
BOSMAY,n,y
BOSMEC,n,y
BOSMIG,n,y
BUKVAG,n,y
BUKVEK,n,y
BUKVIO,n,y
BUKVOU,n,n
BUKVUA,n,n
BUKWAH,n,y
BUYPER,n,n
CABFOD,n,y
CABFUJ,n,y
CABVUZ,n,n
CACBEO,n,y
CADFEV,n,y
CAFJAX,n,y
CAFJEB,n,y
CAHTEM,n,y
CAHTEM01,n,y
CAHTEM02,n,y
CAHTEM03,n,y
CAHTEM04,n,y
CAHVAK,n,y
CAHVAK01,n,y
CAHVAK02,n,y
CAHVAK03,n,y
CAHVAK04,n,y
CAKSEP,n,y
CALJUX,n,n
CANHOR,n,n
CANYAT,n,y
CATREV,n,n
CAVDAG,n,n
CAVDIO,n,n
CAVDOU,n,n
CAXFIT,n,n
CAXFOZ,n,y
CAXROJ01,n,y
CELMUE,n,y
CERNIZ,n,n
CERNOF,n,n
CERQAU,n,y
CEVHIV,n,y
CEXQUR,n,n
CEXROM,n,n
CEXTAA,n,n
CIDMOR,n,y
CIDMUX,n,y
CIDNAE,n,n
CIJMEQ,n,y
CILREX,n,y
CILRIB,n,y
CILROH,n,y
CILRUN,n,n
CILSAU,n,y
CILSEY,n,y
CILSIC,n,y
CISXAD01,n,y
CITLAS,n,n
COFFAG,y,y
COFFEK,n,y
CONCUF,n,y
COQFOF,n,n
COQFUL,n,n
CUBVEC,n,y
CUBVIG,y,y
CUBZUV,y,y
DAJGAZ,y,y
DAJGED,y,y
DAJGIH,n,n
DAJJAB,n,n
DAJJIK,n,y
DAJJOQ,y,y
DAMREP,n,n
DANYAV,y,y
DANYEZ,y,y
DANYID,y,y
DAQDII,n,n
DAQDII01,n,y
