author,number,DOI,CSD,solvent,disorder
banerjee,826880,,ABEMOL,y,y
banerjee,1476816,,ABEMUS,n,n
banerjee,826883,,ABENEC,y,n
banerjee,826884,,ABENIG,y,n
banerjee,1442033,,ACAGUJ,y,n
banerjee,1519400,,ACUTAW,n,n
banerjee,274843,,ACUWOL,n,n
banerjee,610868,,ADECIW,y,n
banerjee,1577973,,ADULET,y,n
banerjee,289554,,AFAXOV,y,n
banerjee,1018376,,ALINEQ,y,n
banerjee,None,,ANDOON02,n,n
banerjee,1102947,,ANDRSO,n,n
banerjee,806557,,ATEVAX,n,n
banerjee,1476167,,AVECIP,n,n
banerjee,1476170,,AVECOV,y,y
banerjee,1476169,,AVECUB,n,n
banerjee,1476173,,AVEDAI,n,y
banerjee,1476171,,AVEDEM,n,n
banerjee,1476172,,AVEDIQ,n,n
banerjee,1476165,,AVEFOY,y,y
banerjee,1476168,,AVEFUE,y,y
banerjee,1476166,,AVEGAL,n,n
banerjee,839980,,AVICAK,n,n
banerjee,839981,,AVICEO,n,n
banerjee,839983,,AVICOY,n,y
banerjee,225591,,AVIWEH,y,n
banerjee,225590,,AVIWEH01,y,n
banerjee,225589,,AVIWIL,n,n
banerjee,None,,AVIWOR,y,n
banerjee,605426,,AVIWOR01,y,y
banerjee,222157,,AWEBEJ,y,y
banerjee,222158,,AWEBIN,y,n
banerjee,173625,,AWEBOT,y,n
banerjee,817475,,AXEJUJ,n,n
banerjee,817476,,AXEKAQ,y,n
banerjee,817477,,AXEKEU,n,n
banerjee,817478,,AXEKIY,n,n
banerjee,1478333,,AYIBER,n,n
banerjee,None,,AZTYMD,n,n
banerjee,1441255,,BACBIT,y,n
banerjee,1441256,,BACBOZ,y,n
banerjee,1106259,,BASDUU,y,n
banerjee,None,,BAWMAN,n,n
banerjee,1536757,,BAXHIU,y,n
banerjee,1108724,,BENXIB,n,n
banerjee,918496,,BEPMOA,n,n
banerjee,918495,,BEPMUG,n,n
banerjee,None,,BESEAZ01,n,n
banerjee,244138,,BEXPUQ,y,n
banerjee,244139,,BEXQAX,y,n
banerjee,244140,,BEXQEB,y,n
banerjee,None,,BISKET,n,n
banerjee,1112307,,BIYPUU,n,n
banerjee,680253,,BOHKAL,n,n
banerjee,752917,,BOPNUP01,n,n
banerjee,167175,,BOZQOW,y,n
banerjee,1116964,,BUPJOL,y,n
banerjee,1439227,,CAPWIC,n,n
banerjee,270000,,CATBAB,n,n
banerjee,284819,,CAVRIB,y,y
banerjee,284820,,CAVROH,y,y
banerjee,284821,,CAVRUN,n,n
banerjee,284822,,CAVSAU,n,n
banerjee,284823,,CAVSEY,n,n
banerjee,271169,,CAXZEH,n,n
banerjee,271169,,CAXZEH01,n,n
banerjee,265045,,CAYLIY,n,n
banerjee,265046,,CAYLOE,n,n
banerjee,974706,,CECFAT01,y,n
banerjee,1578108,,CEDRUB,n,n
banerjee,907437,,CEGCUO,n,n
banerjee,1544391,,CEGKUX,y,n
banerjee,1544393,,CEGLAE,y,n
banerjee,1544399,,CEGLEI,y,n
banerjee,1544461,,CEGLIM,y,n
banerjee,1544463,,CEGLOS,y,n
banerjee,None,,CEKPAJ,y,n
banerjee,1122920,,CELVOE01,n,n
banerjee,1122921,,CELVOE11,n,n
banerjee,932035,,CITDUG,n,n
banerjee,None,,CIVVOS10,n,n
banerjee,1126636,,CIWSOQ,n,y
banerjee,650773,,CIZXAL,n,n
