REFCODE,molecule,pore_diam_opt,no_windows,classification
ABAWEI,0,1.3308679734565363,2,
ABAWEI,1,1.4386470962254454,3,
ABAWEI,2,1.3704642370731874,2,
ABAWEI,3,1.5408455199153877,2,
ABAWEI,4,1.4363534136546656,2,
ABAWEI,5,1.5393910249875082,2,
ABEGAS,0,0.4379835168486759,2,
ABEGAS,2,0.4390750281212053,2,
ABEGAS,3,0.4402891641861109,2,
ABEJOI,4,1.6174901279332778,3,
ABEJOI,5,1.6182029475574322,3,
ABENEC,9,0.2597366603999345,2,
ABENEC,11,0.2871479779415309,2,
ABENEC,12,0.2871479779415309,2,
ABENEC,13,0.2871479779415309,2,
ABENEC,14,0.2871479779415309,2,
ABENEC,23,0.23122129098776376,2,
ABENEC,24,0.23122129185581344,2,
ABIKUU,2,4.779188784825832,5,
ABIKUU,12,4.778186599719165,5,
ABIKUU,13,4.778186599463217,5,
ABIKUU,17,4.778186596730679,5,
ABIKUU,28,4.778690866753242,5,
ABIKUU,29,4.778690711783368,5,
ABIKUU,30,4.778691464668019,5,
ABIKUU,196,4.777663173876073,5,
ABILAB,1,4.954637261249575,5,
ABILAB,2,4.954847871398338,5,
ABILAB,4,4.954985460142144,5,
ABILAB,5,4.9549849910656265,5,
ABILAB,6,4.954678629643542,5,
ABILAB,13,4.954845999291416,5,
ABILEF,0,5.222536760308332,4,
ABILEF,1,1.4971181924914323,2,
ABILEF,2,5.423968509719765,4,
ABILEF,3,2.0227686349587635,2,
ABILEF,4,5.286959124474572,4,
ABILEF,5,5.424308190343696,4,
ABILEF,6,2.022625232143518,2,
ABILEF,7,5.422286415637234,4,
ABILEF,8,5.222538065732005,4,
ABILEF,9,5.424363020128479,4,
ABILEF,10,1.4969909211228338,2,
ABILEF,11,5.222541818392207,4,
ABILIJ,0,1.4909012943616005,2,
ABILIJ,1,5.551386347999125,4,
ABILIJ,3,5.613237092292168,4,
ABILIJ,8,5.428384294102704,4,
ABILIJ,9,4.324709085470261,5,
ABILIJ,10,5.634886972852592,4,
ABILIJ,14,4.324902762992915,5,
