cif,deleted
ABABAI_extracted.cif,Y
ABABEL_extracted.cif,Y
ABABEM_extracted.cif,Y
ABABIP_extracted.cif,Y
ABABOV_extracted.cif,Y
ABABUB_extracted.cif,Y
ABACAI_extracted.cif,Y
ABACEM_extracted.cif,Y
ABACIQ_extracted.cif,Y
ABACOW_extracted.cif,Y
ABACOX_extracted.cif,Y
ABACUC_extracted.cif,Y
ABADAJ_extracted.cif,Y
ABADEN_extracted.cif,Y
ABADIR_extracted.cif,Y
ABADOY_extracted.cif,Y
ABAFUG_extracted.cif,Y
ABAGAN_extracted.cif,Y
ABAGER_extracted.cif,Y
ABAGES_extracted.cif,Y
ABAGIW_extracted.cif,Y
ABAGOB_extracted.cif,Y
ABAHAO_extracted.cif,Y
ABAKOF_extracted.cif,Y
ABALEW_extracted.cif,Y
ABALIZ_extracted.cif,Y
ABAMEX01_extracted.cif,Y
ABAMEX02_extracted.cif,Y
ABAMUN_extracted.cif,Y
ABAPEA_extracted.cif,Y
ABAPIE_extracted.cif,Y
ABAPOK_extracted.cif,Y
ABAQEC_extracted.cif,Y
ABAQIG_extracted.cif,Y
ABAQOM_extracted.cif,Y
ABAQUS_extracted.cif,Y
ABASIG_extracted.cif,Y
ABATAB_extracted.cif,Y
ABATEF_extracted.cif,Y
ABATIJ_extracted.cif,Y
ABATOP_extracted.cif,Y
ABATRG_extracted.cif,Y
ABATUV_extracted.cif,Y
ABAVAD_extracted.cif,Y
ABAVEH_extracted.cif,Y
ABAVIL_extracted.cif,Y
ABAVOR_extracted.cif,Y
ABAVUX_extracted.cif,Y
ABAWAE_extracted.cif,Y
ABAWEG01_extracted.cif,Y
ABAWEI_extracted.cif,N
ABAWIM_extracted.cif,Y
ABAZUA_extracted.cif,Y
ABEDES_extracted.cif,Y
ABEDIW_extracted.cif,Y
ABEDOC_extracted.cif,Y
ABEFAR_extracted.cif,Y
ABEFIW_extracted.cif,Y
ABEFIX_extracted.cif,Y
ABEFOD_extracted.cif,Y
ABEFOE_extracted.cif,Y
ABEFOE01_extracted.cif,Y
ABEGAR_extracted.cif,Y
ABEGAR01_extracted.cif,Y
