author,number,DOI,CSD,solvent,disorder
Kostas,236938,,CEBNAZ,n,n
Kostas,1021395,,DUCMOF,y,y
Kostas,1021396,,DUCMUL,y,y
Kostas,1021397,,DUCNAS,y,y
Kostas,1021398,,DUCNEW,y,y
Kostas,810233,,HANGEK,y,y
Kostas,1194487,,KEGZUR,n,y
Kostas,711876,,KUDVEL,y,y
Kostas,711877,,KUDVIP,y,n
Kostas,None,,TOWKIZ,y,y
Kostas,None,,TOWKUL,n,n
Kostas,100520,,VAXQEQ,n,n
Holman,None,,AGIVUH,y,n
Holman,882053,,AGUBUB,y,n
Holman,882052,,AGUCAI,y,n
Holman,882051,,AGUCEM,y,n
Holman,845406,,AYUPUG,n,y
Holman,239970,,BIMXOL,y,y
Holman,240116,,BIMXUR,y,y
Holman,854914,,CAJCOH,n,n
Holman,1427383,,DABXEM,y,y
Holman,136055,,DAQMIR,n,n
Holman,233457,,DERGOX,y,n
Holman,233458,,DERGUD,y,y
Holman,233456,,DESJAN,y,y
Holman,788325,,DUSHOP,n,n
Holman,185002,,EFIRIU,y,n
Holman,185003,,EFIROA,n,n
Holman,217082,,ETUBEA,y,n
Holman,217083,,ETUBIE,n,y
Holman,217084,,ETUBOK,n,n
Holman,217085,,ETUBUQ,n,n
Holman,1476916,,EVAVII,y,n
Holman,834467,,EVEYOU,y,n
Holman,1152837,,FATKOA,n,n
Holman,1027975,,FOQTEM,y,y
Holman,1027974,,FOQTIQ,y,y
Holman,1027976,,FOQTOW,y,y
Holman,1027977,,FOQTUC,y,n
Holman,935199,,FORFEZ,y,y
Holman,1407167,,GEDKEF01,y,n
Holman,198489,,GUVBII,y,n
Holman,673632,,HIBCOK01,y,n
Holman,1844380,,IDUYIS,y,y
Holman,1844381,,IDUYOY,y,y
Holman,895258,,ILUFEC,y,n
Holman,895251,,ILUFIG,y,n
Holman,895252,,ILUFIG01,y,n
Holman,895259,,ILUFOM,y,n
Holman,968228,,ILUGAZ,y,n
Holman,895257,,ILUGED,y,y
Holman,895255,,ILUGON,y,n
Holman,895272,,ILUGUT,y,n
Holman,895273,,ILUHAA,y,n
Holman,951980,,ILUHEE,y,y
Holman,895267,,ILUHII,y,n
Holman,895275,,ILUHOO,y,n
Holman,956147,,ILUHUU,y,n
Holman,895247,,ILUJAC,y,n
Holman,944684,,ILUJEG,y,n
Holman,954924,,ILUJIK,y,n
Holman,895248,,ILUJOQ,y,n
Holman,895271,,ILUJUW,y,n
Holman,895460,,ILUKAD,y,n
Holman,895254,,ILUKEH,y,y
Holman,895270,,ILUKIL,y,n
Holman,943823,,ILUKOR,y,n
Holman,895261,,ILUKUX,y,n
Holman,943822,,ILUKUX01,y,n
Holman,895268,,ILULAE,y,n
Holman,895264,,ILULEI,y,n
Holman,895265,,ILULIM,y,n
Holman,895274,,ILULOS,y,n
Holman,1415607,,ILUMAF,y,n
Holman,895260,,ILUPOW,y,n
Holman,895256,,ILUPUC,y,y
Holman,895262,,ILUQAJ,y,n
Holman,895459,,ILUQEN,y,n
Holman,895263,,ILUQIR,y,n
Holman,895269,,ILUQIR01,y,n
Holman,944828,,ILUQOX,y,n
Holman,948998,,ILURAK,y,n
Holman,895253,,ILUREO,y,n
Holman,895250,,ILURIS,y,n
Holman,895249,,ILUTEQ,y,n
Holman,895246,,ILUTIU,n,n
Holman,895245,,ILUTIU01,n,n
Holman,895266,,ILUVIW,y,n
Holman,988096,,JOXWEA,n,n
Holman,774275,,KUTDAF,n,n
Holman,797791,,KUZTEF,y,n
Holman,673597,,LITTUE,y,n
Holman,673598,,LITVAM,y,n
Holman,673599,,LITVEQ,y,n
Holman,673600,,LITVIU,y,n
Holman,673601,,LITVOA,y,n
Holman,673602,,LITVUG,y,n
Holman,673603,,LITWAN,y,y
Holman,673604,,LITWER,y,n
Holman,673605,,LITWIV,y,n
Holman,673606,,LITWOB,y,y
Holman,673607,,LITWUH,y,n
Holman,673608,,LITXAO,y,n
Holman,673609,,LITXES,y,n
Holman,673610,,LITXIW,y,y
Holman,673611,,LITXOC,y,n
Holman,673612,,LITXUI,y,y
Holman,673613,,LITYAP,y,y
Holman,673614,,LITYET,y,n
Holman,673615,,LITYIX,y,n
Holman,673616,,LITYOD,y,n
Holman,673617,,LITYUJ,y,n
Holman,673618,,LITZAQ,y,n
Holman,673619,,LITZEU,y,n
Holman,673620,,LITZIY,y,y
Holman,673621,,LITZOE,y,n
Holman,673622,,LITZUK,y,y
Holman,673623,,LIVBAU,y,y
Holman,673624,,LIVBEY,y,n
Holman,673625,,LIVBIC,y,y
Holman,673626,,LIVBOI,y,n
Holman,673627,,LIVBUO,y,y
Holman,673628,,LIVCAV,y,y
Holman,673629,,LIVCEZ,y,n
Holman,673630,,LIVCID,y,n
Holman,673631,,LIVCOJ,y,n
Holman,673633,,LIVCUP,y,y
Holman,673634,,LIVDAW,y,y
Holman,673635,,LIVDEA,y,n
Holman,150279,,LUMKIN,y,n
Holman,136727,,MAXZOA,y,n
Holman,136728,,MAXZUG,y,n
Holman,136729,,MAYBAP,y,n
Holman,150220,,MAYBAP01,y,n
Holman,164111,,MERLEA,y,n
Holman,164112,,MERLIE,y,n
Holman,164113,,MERLOK,y,n
Holman,164114,,MERLUQ,y,n
Holman,164115,,MERMAX,y,n
Holman,164116,,MERMEB,y,y
Holman,164117,,MERMIF,y,n
Holman,164118,,MERMOL,y,n
Holman,164119,,MERMUR,y,n
Holman,164120,,MERNAY,y,n
Holman,164121,,MERNEC,y,n
Holman,164122,,MERNIG,y,n
Holman,164123,,MERNOM,y,n
Holman,164124,,MERNUS,y,n
Holman,164125,,MERPAA,y,n
Holman,164126,,MERPEE,y,n
Holman,164280,,MERPII,y,n
Holman,164281,,MERPOO,y,n
Holman,164282,,MERPUU,y,n
Holman,176645,,MERSAD,y,y
Holman,176646,,MERSEH,y,y
Holman,176647,,MERSIL,y,y
Holman,176649,,MERSUX,y,y
Holman,176648,,MERSUX01,y,y
Holman,176651,,MERTEI,y,y
Holman,176650,,MERTEI01,y,y
Holman,176652,,MERTIM,y,y
Holman,176653,,MERTOS,y,n
Holman,176654,,MERTUY,y,n
Holman,176655,,MERVAG,y,n
Holman,150278,,MEXKAB01,y,y
Holman,963629,,MUDVUE,y,n
Holman,601015,,NEKYOS,y,y
Holman,935198,,NOVNAP,n,n
Holman,924674,,NOWBUY,y,n
Holman,924673,,NOWCAF,y,n
Holman,924672,,NOWCEJ,y,n
Holman,None,,NSPIBP,n,n
Holman,858508,,OCECOQ,y,n
Holman,774686,,OSOBUU,y,y
Holman,774687,,OSOBUU01,y,y
Holman,None,,PADYIC,n,n
Holman,847164,,PAYBAU,y,n
Holman,769923,,PUHZOI,n,n
Holman,770072,,PUKLEN,y,n
Holman,782040,,QACPOB,y,y
Holman,782043,,QACQES,y,n
Holman,782044,,QACQIW,y,y
Holman,782045,,QACQOC,y,y
Holman,782047,,QACRAP,y,y
