REFCODE,molecule,pore_diam_opt,no_windows
ABAWEI,3,1.5408486297402386,2
ABIKUU,2,4.779188784825832,5
ABILAB,4,4.954985460142144,5
ABILEF,9,5.424363020128478,4
ABILIJ,10,5.634886972852593,4
ABILOP,8,3.6855836127437125,3
ABILUV,2,3.8601438209092573,5
ABIMAC,1,3.653610356318041,3
ABIMEG,3,3.7273726090086217,5
ABIMIK,11,3.4421505347674866,3
ABIMOQ,0,5.284583720870506,0
ABIMUW,4,1.1218441679125761,2
ABINAD,0,1.2495975461575122,2
ABINEH,0,4.391542277528922,0
ABINIL,50,6.509045842780777,5
ABINUX,5,2.275130157429286,2
ABIPAF,1,6.367002504122318,5
ABIPEJ,7,5.903258769972902,5
ABIQEK,0,5.331615582950382,4
ABIQIO,5,5.365240933754123,4
ACIHOK,2,4.399852890442792,2
ACIYOC,4,4.789340686952677,0
ACOKAG,3,1.8233167702213033,2
ADARUU,65,5.860827436605538,3
ADOSEU,1,4.404658025651139,2
ADOSIY,3,3.6325830193052657,0
ADOSOE,1,5.468542373655225,2
AFEFUM,31,1.549823480222479,0
AFEGAT,5,1.507252725918439,0
AFISOY,3,4.239890123723081,2
AFISUE,6,4.0763677929332225,2
AFITAL,3,4.1931635024768585,2
AGEPIL,0,0.7311565062289387,2
AGETIR,2,1.3751729824821335,1
AGETOX,6,1.3300189507936921,1
AJOKOA,2,0.5603035894567858,1
AJOQEX,3,5.078931794525609,2
AJUNOJ,0,6.160276050263626,2
AKEBEZ,15,1.7716027883048642,2
AKEBID,8,1.9172575556453713,0
AKIFAB,6,0.5324171325635905,2
AKIMUE,1,3.5018859203713704,2
AKINAL,1,2.5829124253403664,2
AKINEP,0,2.9616275437059874,2
AKINIT,1,2.2748373850592674,2
AKINOZ,17,2.5034271296238475,2
AKINUF,2,2.3540888852648387,2
AKUVEH,1,0.9398205088389404,2
AKUVIL,0,0.7246348081387759,2
AKUVOR,0,1.0087303796461131,4
ALABEV,5,3.612384115590318,3
ALABIZ,0,3.1990752973934353,3
ALABOF,14,3.3076583647223567,3
ALABOF01,4,3.306668038553601,3
APEQUJ,0,3.851251507956366,3
AQIBEJ,8,3.7354800950925253,3
ARAJOS,0,0.26936188092451463,2
ARUQOU,14,5.029117594712448,2
ARUQUA,3,3.060492716034888,2
ASEVUP,0,1.785720145482431,2
ATOHUN,2,4.0277901860053476,2
ATOJAV,3,2.9061913393044354,2
ATOJEZ,3,4.421203905751739,2
AVAWID,0,6.3672183139475305,2
AVAZIH,7,4.56190385107228,2
AVAZON,0,7.849896760907038,2
AVELET,4,2.6746843081091245,1
AVELIX,3,2.8003977217069775,1
AVIMAT,1,1.72053274003239,2
AVIMEX,2,0.9179255391557519,2
AVIMOH,1,1.8415742049250299,2
AXONIK,2,0.9889859632978197,2
AYOQEK,2,1.3575583052467604,3
AYOREL,1,2.888360363501217,2
AYORIP,0,0.8389565456108743,2
AZOPOV,1,1.1732223679155491,2
BAFZEN,1,2.505435625870607,2
BAGBUJ,1,3.302517299507266,3
BAHSOV,0,0.4285413627010386,2
BAHTAI,2,2.00539248945111,2
BALCIB,1,0.6018361533611651,2
BALHAX,0,3.167854665160706,2
BALHEC,1,5.104142669936534,1
BALHIG,1,2.8769646655808354,2
BALHOM,2,2.919131296932403,1
BALLEF,0,3.1100053943866697,2
BAMZOG,0,4.445618927321425,3
BANGUS,16,6.243462969636127,2
BAQDIJ,0,1.1724082470948112,0
BAQGAB,0,2.2518655796347926,2
BAQGEF,0,4.705296215903697,2
BAQGIJ,0,1.7308904010253454,2
BARZAX,2,1.7006248049900283,2
BATGUY10,1,1.4426919252174577,3
BAZDEN,1,0.413207856133222,1
BEFDIA,0,5.627480758713634,2
BEFDOG,5,6.81112019704789,2
BEFDUM,1,6.341901570390778,2
BEFFAU,0,5.721141375930305,2
BEHFIE,4,0.5520621151145599,2
BEJPAH,1,2.5657225592803803,2
BEKXIB,11,4.115602334252756,3
BENJIQ,3,0.7300247589326383,2
BENJUC,2,0.9758270404456257,2
BENKAJ,0,0.978876542992555,2
BENKEN,3,0.49547236024854957,2
BENKIR,1,3.363984321996694,1
BENKOX,0,1.3563401401802837,2
BENKUD,0,3.3109704732496525,1
BENLIS,6,0.5293734441985118,1
BENLOY,0,2.733074858565262,1
BENLUE,0,2.5450738829401787,1
BENMEP,1,0.9532383845028072,1
BENMIT,2,1.2925312360598653,2
BEQWID,1,1.305057007482667,3
BEWKOE,2,0.8751796174505087,1
BEXMUM,0,0.5368228589481365,2
BEXNAT,4,3.5400364082733486,4
BEXWUY,7,5.688949818684728,2
BEYLUO,2,6.640101692450212,2
