cif,BUG?
ABABAI_extracted.cif,N
ABABEL_extracted.cif,N
ABABEM_extracted.cif,N
ABABIP_extracted.cif,N
ABABOV_extracted.cif,N
ABABUB_extracted.cif,N
ABACAI_extracted.cif,N
ABACEM_extracted.cif,N
ABACIQ_extracted.cif,N
ABACOW_extracted.cif,N
ABACOX_extracted.cif,N
ABACUC_extracted.cif,N
ABADAJ_extracted.cif,N
ABADEN_extracted.cif,N
ABADIR_extracted.cif,N
ABADOY_extracted.cif,N
ABAFUG_extracted.cif,N
ABAGAN_extracted.cif,N
ABAGER_extracted.cif,N
ABAGES_extracted.cif,N
ABAGIW_extracted.cif,N
ABAGOB_extracted.cif,N
ABAHAO_extracted.cif,N
ABAKOF_extracted.cif,N
ABALEW_extracted.cif,N
ABALIZ_extracted.cif,N
ABAMEX01_extracted.cif,N
ABAMEX02_extracted.cif,N
ABAMUN_extracted.cif,N
ABAPEA_extracted.cif,N
ABAPIE_extracted.cif,N
ABAPOK_extracted.cif,N
ABAQEC_extracted.cif,N
ABAQIG_extracted.cif,N
ABAQOM_extracted.cif,N
ABAQUS_extracted.cif,N
ABASIG_extracted.cif,N
ABATAB_extracted.cif,N
ABATEF_extracted.cif,N
ABATIJ_extracted.cif,N
ABATOP_extracted.cif,N
ABATRG_extracted.cif,N
ABATUV_extracted.cif,N
ABAVAD_extracted.cif,N
ABAVEH_extracted.cif,N
ABAVIL_extracted.cif,N
ABAVOR_extracted.cif,N
ABAVUX_extracted.cif,N
ABAWAE_extracted.cif,N
ABAWEG01_extracted.cif,N
ABAWEI_extracted.cif,N
ABAWIM_extracted.cif,N
ABAZUA_extracted.cif,N
ABEDES_extracted.cif,N
ABEDIW_extracted.cif,N
ABEDOC_extracted.cif,N
ABEFAR_extracted.cif,N
ABEFIW_extracted.cif,N
ABEFIX_extracted.cif,N
ABEFOD_extracted.cif,N
ABEFOE_extracted.cif,N
ABEFOE01_extracted.cif,N
ABEGAR_extracted.cif,N
ABEGAR01_extracted.cif,N
ABEGAS_extracted.cif,N
ABEGEV_extracted.cif,N
ABEGIZ_extracted.cif,N
ABEGIZ01_extracted.cif,N
ABEGOE_extracted.cif,N
ABEJIB_extracted.cif,N
ABEJIB01_extracted.cif,N
ABEJIC_extracted.cif,N
ABEJOI_extracted.cif,N
ABEJUN_extracted.cif,N
ABEJUO_extracted.cif,N
ABEKID01_extracted.cif,N
ABEKOI_extracted.cif,N
ABEKUO_extracted.cif,N
ABEMEC_extracted.cif,N
ABEMIG_extracted.cif,N
ABEMOK_extracted.cif,N
ABEMOL_extracted.cif,N
ABEMOM_extracted.cif,N
ABEMUS_extracted.cif,N
ABENAX_extracted.cif,N
ABENEC_extracted.cif,N
ABENIF_extracted.cif,N
ABENIF01_extracted.cif,N
ABENIG_extracted.cif,N
ABEPAZ_extracted.cif,N
ABEPAZ01_extracted.cif,N
ABEPIH_extracted.cif,N
ABEPIJ_extracted.cif,N
ABEQAA_extracted.cif,N
ABEQAC_extracted.cif,N
ABEQOO_extracted.cif,N
ABERAB_extracted.cif,N
ABEROP_extracted.cif,N
ABEVOS_extracted.cif,N
ABEVUY_extracted.cif,N
ABEWAF_extracted.cif,N
ABEWEJ_extracted.cif,N
ABEXOX_extracted.cif,N
ABEYOY_extracted.cif,N
ABEYOY01_extracted.cif,N
ABEZUE_extracted.cif,N
ABIBEU_extracted.cif,N
ABIFUP_extracted.cif,N
ABIGAW_extracted.cif,N
ABIGEA_extracted.cif,N
ABIGIB_extracted.cif,N
ABIGIE_extracted.cif,N
ABIGOH_extracted.cif,N
ABIGUN_extracted.cif,N
ABIHAU_extracted.cif,N
ABIHIC_extracted.cif,N
ABIHIC01_extracted.cif,N
ABIHOI_extracted.cif,N
ABIKUU_extracted.cif,N
ABILAB_extracted.cif,N
ABILAC11_extracted.cif,N
ABILEC_extracted.cif,N
ABILEF_extracted.cif,N
ABILIG_extracted.cif,N
ABILIJ_extracted.cif,N
ABILOP_extracted.cif,N
ABILUV_extracted.cif,N
ABIMAC_extracted.cif,N
ABIMEG_extracted.cif,N
ABIMIK_extracted.cif,N
ABIMOQ_extracted.cif,N
ABIMUW_extracted.cif,N
ABINAD_extracted.cif,N
ABINEH_extracted.cif,N
ABINIL_extracted.cif,N
ABINOR_extracted.cif,N
ABINOR02_extracted.cif,N
ABINOR03_extracted.cif,N
ABINOR04_extracted.cif,N
ABINUX_extracted.cif,N
ABIPAF_extracted.cif,N
ABIPEH_extracted.cif,N
ABIPEJ_extracted.cif,N
ABIPIN_extracted.cif,N
ABIPOT_extracted.cif,N
ABIPUZ_extracted.cif,N
ABIQEK_extracted.cif,N
ABIQIO_extracted.cif,N
ABIQOU_extracted.cif,N
ABIRAH_extracted.cif,N
ABITUD_extracted.cif,N
ABIVAL_extracted.cif,N
ABIVEP_extracted.cif,N
ABIVIT_extracted.cif,N
ABIVOZ_extracted.cif,N
ABIWIT_extracted.cif,N
ABIXUF_extracted.cif,N
ABIYAM_extracted.cif,N
ABIYOC_extracted.cif,N
ABIYUI_extracted.cif,N
ABOBID_extracted.cif,N
ABOGUW_extracted.cif,N
ABOHAD_extracted.cif,N
ABOJOR_extracted.cif,N
ABOKIN_extracted.cif,N
ABOKUY_extracted.cif,N
ABOLUY_extracted.cif,N
ABOMAF_extracted.cif,N
ABOMEJ_extracted.cif,N
ABOMIN_extracted.cif,N
ABOMIN01_extracted.cif,N
ABOMUZ_extracted.cif,N
ABOMUZ01_extracted.cif,N
ABONAG_extracted.cif,N
ABONEK_extracted.cif,N
ABORAN_extracted.cif,N
ABORER_extracted.cif,N
ABOROZ_extracted.cif,N
ABOSAM_extracted.cif,N
ABOTIW_extracted.cif,N
ABOTOC_extracted.cif,N
ABOTUH_extracted.cif,N
ABOTUI_extracted.cif,N
ABOVAP_extracted.cif,N
ABOVAQ_extracted.cif,N
ABOXAS_extracted.cif,N
ABOYOI_extracted.cif,N
ABOYUN_extracted.cif,N
ABOZAU_extracted.cif,N
ABOZEY_extracted.cif,Y
ABOZEZ_extracted.cif,N
ABUJOW_extracted.cif,N
ABUJUC_extracted.cif,N
ABUKAJ_extracted.cif,N
ABUKEN_extracted.cif,N
ABUQEV_extracted.cif,N
ABUQIZ_extracted.cif,N
ABUQOF_extracted.cif,N
ABUQUL_extracted.cif,N
ABURAS_extracted.cif,N
ABUSIB_extracted.cif,N
ABUSOH_extracted.cif,N
ABUSUN_extracted.cif,N
ABUTAU_extracted.cif,N
ABUTAV_extracted.cif,N
ABUTID_extracted.cif,N
ABUVAW_extracted.cif,N
ABUVAX_extracted.cif,N
ABUVEA_extracted.cif,N
ABUVEB_extracted.cif,N
ABUWIG_extracted.cif,N
ABUWOM_extracted.cif,N
ABUZED_extracted.cif,N
