file,number,DOI,CSD
1830496-1830497.cif,1830497,10.1021/jacs.8b07494,FILGEP
867849-867853.cif,867849,10.1038/ncomms2552,NIGFAM
867849-867853.cif,867851,10.1038/ncomms2552,NIGDOY
867849-867853.cif,867850,10.1038/ncomms2552,NIGDUE
1581566-1581567.cif,1581566,10.1021/jacs.7b11334,BEZNIG
1581566-1581567.cif,1581567,10.1021/jacs.7b11334,BEZNOM
1815075-1815084.cif,1815077,10.1021/acsami.8b02015,GEWMUT
1815075-1815084.cif,1815084,10.1021/acsami.8b02015,GEWPEG
1840858-1840860.cif,1840858,10.1039/C8SC02263A,PIKDEV
1840858-1840860.cif,1840859,10.1039/C8SC02263A,PIKDIZ
1840858-1840860.cif,1840860,10.1039/C8SC02263A,PIKDOF
1541836-1541842.cif,1541836,10.1021/jacs.7b05202,SAYGIL
1541836-1541842.cif,1541838,10.1021/jacs.7b05202,SAYGUX
1541836-1541842.cif,1541839,10.1021/jacs.7b05202,SAYHAE
1541836-1541842.cif,1541841,10.1021/jacs.7b05202,SAYHIM
1541836-1541842.cif,1541842,10.1021/jacs.7b05202,SAYHOS
1541836-1541842.cif,1541837,10.1021/jacs.7b05202,SAYGOR
1541836-1541842.cif,1541840,10.1021/jacs.7b05202,SAYHEI
273613-273623.cif,273613,10.1021/ja042802q,JANYUT
273613-273623.cif,273614,10.1021/ja042802q,JANYUT01
273613-273623.cif,273615,10.1021/ja042802q,JANZAA
273613-273623.cif,273617,10.1021/ja042802q,JANZEE
273613-273623.cif,273618,10.1021/ja042802q,JANZEE01
273613-273623.cif,273616,10.1021/ja042802q,JANZAA01
273613-273623.cif,273619,10.1021/ja042802q,JANZII
273613-273623.cif,273621,10.1021/ja042802q,JANZOO
273613-273623.cif,273623,10.1021/ja042802q,JANZUU
273613-273623.cif,273622,10.1021/ja042802q,JANZOO01
273613-273623.cif,273620,10.1021/ja042802q,JANZII01
755144-755147.cif,755144,10.1021/ja905101s,WULQIE
755144-755147.cif,755147,10.1021/ja905101s,WULQUQ01
755144-755147.cif,755146,10.1021/ja905101s,WULQUQ
755144-755147.cif,755145,10.1021/ja905101s,WULQIE01
736898-736902.cif,736898,10.1021/ja901731z,SUPPID
736898-736902.cif,736899,10.1021/ja901731z,SUPPOJ
736898-736902.cif,736900,10.1021/ja901731z,SUPPUP
962335-962336.cif,962336,10.1039/C3QI00042G,ZIWMAV
1212281-1212282.cif,1212282,10.1021/ja0104352,MIQCEU
979457-979459.cif,979457,10.1039/C4DT02408G,ZOXLUV
979457-979459.cif,979458,10.1039/C4DT02408G,ZOXMAC
979457-979459.cif,979459,10.1039/C4DT02408G,ZOXVAL
