author,number,DOI,CSD,solvent,disorder
M.fujita,244162,,ABAHIV,y,y
M.fujita,238715,,ABIGEY,y,y
M.fujita,238715,,ABIGEY01,y,y
M.fujita,174264,,AFIWAN,y,y
M.fujita,210396,,AJAREI,y,y
M.fujita,1045836,,AJEMUZ,y,y
M.fujita,1045837,,AJENAG,y,y
M.fujita,1045838,,AJENEK,y,y
M.fujita,1045839,,AJENIO,y,y
M.fujita,218828,,AKECEY,y,y
M.fujita,794242,,AXENAT,y,y
M.fujita,932494,,BIBROV01,y,n
M.fujita,1832733,,BIBZUK,y,y
M.fujita,1832734,,BICBAT,y,y
M.fujita,1832735,,BICBEX,y,n
M.fujita,238243,,BICWOA,y,n
M.fujita,238399,,BIMXIF,y,y
M.fujita,646901,,BOBRIU,y,y
M.fujita,646911,,BOBROA,y,y
M.fujita,978207,,BOGYUT,y,y
M.fujita,978205,,BOGZAA,y,y
M.fujita,978206,,BOGZEE,y,y
M.fujita,1028046,,BOSPEG,y,y
M.fujita,1009149,,BOSYIT,y,y
M.fujita,293777,,CEKDEC,y,y
M.fujita,293777,,CEKDEC01,y,y
M.fujita,987499,,COPPAA,y,y
M.fujita,703950,,COSZUG,y,y
M.fujita,703950,,COSZUG01,y,y
M.fujita,712181,,COWBIA,y,y
M.fujita,277484,,CPMNCO03,n,n
M.fujita,736639,,CUDYEG,y,y
M.fujita,736640,,CUDYIK,y,y
M.fujita,736641,,CUDYOQ,y,y
M.fujita,736642,,CUDYUW,y,y
M.fujita,762055,,CUQRAI,y,n
M.fujita,823489,,DABWAG,y,y
M.fujita,260804,,DEBWOX,y,y
M.fujita,230295,,DELCON01,n,n
M.fujita,602076,,DEMWIC,y,y
M.fujita,927642,,DOBRIX,y,y
M.fujita,927644,,DOBROD,y,y
M.fujita,927643,,DOBRUJ,y,y
M.fujita,None,,EBELUS,y,y
M.fujita,777611,,ECAPIJ,y,y
M.fujita,None,,EDIBIC,y,y
M.fujita,189501,,EHARIO,y,y
M.fujita,189502,,EHAROU,y,n
M.fujita,189503,,EHARUA,y,n
M.fujita,759106,,ELUPAD,y,y
M.fujita,238928,,FATNUK,y,y
M.fujita,249974,,FEMSEW,y,y
M.fujita,249974,,FEMSEW01,y,y
M.fujita,204448,,FIGPER,y,y
M.fujita,204449,,FIGPIV,y,n
M.fujita,None,,FONQEE,y,n
M.fujita,None,,FONQII,y,n
M.fujita,704196,,FOPKEB,y,y
M.fujita,732820,,FUNCUN,y,y
M.fujita,746217,,FUXKIT,y,y
M.fujita,664973,,GIYMOR,y,y
M.fujita,666355,,GIYMUX,y,y
M.fujita,191629,,GUWNOB,y,y
M.fujita,191630,,GUWNUH,y,y
M.fujita,860617,,HASCIP,n,n
M.fujita,996175,,HOHJOF,y,y
M.fujita,996176,,HOHJUL,y,y
M.fujita,1022351,,HUZYOS,y,y
M.fujita,1033067,,HUZZAF,y,y
M.fujita,911281,,IFOMIB,y,y
M.fujita,911281,,IFOMIB01,y,y
M.fujita,899132,,IFOMOH,y,n
M.fujita,176954,,IFOXOQ,y,y
M.fujita,1482268,,IQUFIL,y,y
M.fujita,1423147,,IXIXOE,y,y
M.fujita,251289,,IZASOR,y,n
M.fujita,1433284,,JAFDUS,y,y
