file,number,DOI,CSD,NA
1830496-1830497.cif,1830497,10.1021/jacs.8b07494,FILGEP,2340,0
867849-867853.cif,867849,10.1038/ncomms2552,NIGFAM,944,0
867849-867853.cif,867851,10.1038/ncomms2552,NIGDOY,448,448
867849-867853.cif,867850,10.1038/ncomms2552,NIGDUE,244,0
1581566-1581567.cif,1581566,10.1021/jacs.7b11334,BEZNIG,2460,0
1581566-1581567.cif,1581567,10.1021/jacs.7b11334,BEZNOM,3176,0
1815075-1815084.cif,1815077,10.1021/acsami.8b02015,GEWMUT,860,0
1815075-1815084.cif,1815080,10.1021/acsami.8b02015,GEWNII,694,0
1815075-1815084.cif,1815083,10.1021/acsami.8b02015,GEWPAC,3780,0
1815075-1815084.cif,1815084,10.1021/acsami.8b02015,GEWPEG,934,0
1840858-1840860.cif,1840858,10.1039/C8SC02263A,PIKDEV,244,0
1840858-1840860.cif,1840859,10.1039/C8SC02263A,PIKDIZ,740,0
1840858-1840860.cif,1840860,10.1039/C8SC02263A,PIKDOF,446,0
1541836-1541842.cif,1541836,10.1021/jacs.7b05202,SAYGIL,2480,0
1541836-1541842.cif,1541838,10.1021/jacs.7b05202,SAYGUX,2488,0
1541836-1541842.cif,1541839,10.1021/jacs.7b05202,SAYHAE,4896,0
1541836-1541842.cif,1541841,10.1021/jacs.7b05202,SAYHIM,9810,9810
1541836-1541842.cif,1541842,10.1021/jacs.7b05202,SAYHOS,5512,0
1541836-1541842.cif,1541837,10.1021/jacs.7b05202,SAYGOR,2696,2696
1541836-1541842.cif,1541840,10.1021/jacs.7b05202,SAYHEI,0,0
273613-273623.cif,273613,10.1021/ja042802q,JANYUT,1336,0
273613-273623.cif,273614,10.1021/ja042802q,JANYUT01,1216,0
273613-273623.cif,273615,10.1021/ja042802q,JANZAA,1018,1018
273613-273623.cif,273617,10.1021/ja042802q,JANZEE,1504,0
273613-273623.cif,273618,10.1021/ja042802q,JANZEE01,1456,0
273613-273623.cif,273616,10.1021/ja042802q,JANZAA01,730,730
273613-273623.cif,273619,10.1021/ja042802q,JANZII,2008,0
273613-273623.cif,273621,10.1021/ja042802q,JANZOO,984,984
273613-273623.cif,273623,10.1021/ja042802q,JANZUU,2036,0
273613-273623.cif,273622,10.1021/ja042802q,JANZOO01,848,848
273613-273623.cif,273620,10.1021/ja042802q,JANZII01,1648,0
755144-755147.cif,755144,10.1021/ja905101s,WULQIE,714,714
755144-755147.cif,755147,10.1021/ja905101s,WULQUQ01,1172,0
755144-755147.cif,755146,10.1021/ja905101s,WULQUQ,1376,0
755144-755147.cif,755145,10.1021/ja905101s,WULQIE01,540,540
736898-736902.cif,736898,10.1021/ja901731z,SUPPID,936,0
736898-736902.cif,736899,10.1021/ja901731z,SUPPOJ,1350,0
736898-736902.cif,736901,10.1021/ja901731z,SUPQAW,924,0
736898-736902.cif,736900,10.1021/ja901731z,SUPPUP,1224,0
962335-962336.cif,962336,10.1039/C3QI00042G,ZIWMAV,1014,0
1212281-1212282.cif,1212282,10.1021/ja0104352,MIQCEU,1088,0
979457-979459.cif,979457,10.1039/C4DT02408G,ZOXLUV,1782,0
979457-979459.cif,979458,10.1039/C4DT02408G,ZOXMAC,2898,0
979457-979459.cif,979459,10.1039/C4DT02408G,ZOXVAL,2826,0
