CIF,NAperUC
ABIGEY01_extractedm.cif,2780
ABIGEY_extracted.cif,2780
ACIVAK_extracted.cif,1168
ADODOM_extracted.cif,960
ADODUS_extracted.cif,1702
ADORAO_extracted.cif,912
AFIWAN_extracted.cif,1304
AGEBAP_extracted.cif,324
AGEBET_extracted.cif,612
AHABIU_extracted.cif,244
AHABOA_extracted.cif,247
AHINOW_extracted.cif,492
AHUBIP_extracted.cif,354
AJAREI_extracted.cif,1458
AJEMUZ_extracted.cif,982
AJENAG_extracted.cif,969
AJENEK_extracted.cif,1012
AJENIO_extracted.cif,2312
AKECEY_extracted.cif,1652
ALEPEO_extracted.cif,772
ALEPOY_extracted.cif,558
ALEPUE_extracted.cif,808
ALEQAL_extracted.cif,370
ALICUU_extracted.cif,748
ALIZAW_extracted.cif,160
ALIZEA_extracted.cif,179
AMIWEY_extracted.cif,434
ANEYAV_extracted.cif,1032
ANEYEZ_extracted.cif,740
ANEYID_extracted.cif,1032
AQEROE_extracted.cif,2084
AQOVOS_extracted.cif,656
AQOVUY_extracted.cif,1316
ATIHER_extracted.cif,272
ATIHIV_extracted.cif,273
ATOXIR_extracted.cif,556
ATUHUT_extracted.cif,420
ATUJAB_extracted.cif,266
AVAMIT_extracted.cif,780
AVAMOZ_extracted.cif,808
AVAMUF_extracted.cif,823
AVANAM_extracted.cif,1040
AVANEQ_extracted.cif,262
AVANIU_extracted.cif,378
AVANOA_extracted.cif,300
AVELAQ_extracted.cif,912
AVELEU_extracted.cif,1840
AVELIY_extracted.cif,860
AVELOE_extracted.cif,5176
AWEZIN_extracted.cif,972
AXENAT_extracted.cif,3196
BALGEC_extracted.cif,932
BALGIG_extracted.cif,1868
BALGOM_extracted.cif,914
BALGUS_extracted.cif,896
BALHAZ_extracted.cif,3852
BALHED_extracted.cif,3488
BAMQUD_extracted.cif,382
BAVDAF_extracted.cif,2452
BAVJOA_extracted.cif,1440
BAVJUG_extracted.cif,484
BAXMOE_extracted.cif,516
BEBHOF_extracted.cif,2072
BEHKIJ_extracted.cif,310
BEHKOP_extracted.cif,508
BEPXIF_extracted.cif,736
BEQSIC_extracted.cif,3736
BEQSOI_extractedm.cif,7428
BEYSUV_extracted.cif,464
BEZNIG_extracted.cif,820
BEZNOM_extracted.cif,3176
BIBZUK_extracted.cif,3636
BICBAT_extracted.cif,3656
BICBEX_extracted.cif,3608
BICGAY_extractedm.cif,4712
BICWOA_extracted.cif,442
BIMXIF_extracted.cif,942
BIXFEU_extracted.cif,114
BIXFIY_extracted.cif,102
BIZFEX_extracted.cif,3396
BOBRIU_extracted.cif,848
BOBROA_extracted.cif,944
BOBZUP_extracted.cif,544
BOGYUT_extracted.cif,1512
BOGZAA_extracted.cif,572
BOGZEE_extracted.cif,1416
BOQBAM_extractedm.cif,4096
BOQFAQ_extracted.cif,1812
BOQFEU_extracted.cif,4356
BOSPEG_extracted.cif,3636
BOSYIT_extractedm.cif,4468
BUFVIJ_extracted.cif,437
BUPDIA_extracted.cif,584
BUSNIN_extracted.cif,1174
BUSXIY_extracted.cif,914
BUSXOE_extracted.cif,1800
BUSYAR_extractedm.cif,2386
BUVYEY_extracted.cif,404
CABTUX_extracted.cif,636
CABVEJ_extracted.cif,528
CABVIN_extracted.cif,456
CADVAH_extracted.cif,504
CADVEL_extracted.cif,336
CAFQIL_extracted.cif,466
CAFQOR_extracted.cif,3236
CAFQUX_extracted.cif,2224
CAFRAE_extracted.cif,948
CAWSEB_extracted.cif,364
CAWSIF_extracted.cif,324
CAWSOL_extracted.cif,356
CEKDEC_extracted.cif,2852
CETBEL_extracted.cif,1624
CIMQOE_extracted.cif,400
CIMQUK_extracted.cif,386
CIMROF_extracted.cif,2444
CIRVAC_extracted.cif,256
CITTUV01_extracted.cif,272
CITVAD_extracted.cif,232
CITVEH_extracted.cif,1116
COCBED_extracted.cif,250
COHPAS_extracted.cif,398
COJFUD_extracted.cif,710
COPPAA_extracted.cif,3860
COSZOA_extracted.cif,1560
COSZUG_extracted.cif,2228
COWBIA_extracted.cif,1480
CUDYEG_extracted.cif,1833
CUDYIK_extracted.cif,3700
CUDYOQ_extracted.cif,3700
CUDYUW_extracted.cif,1844
CUPFOK_extracted.cif,1766
CUPFUQ_extracted.cif,1664
CUPTEO_extracted.cif,912
CUPTIS_extracted.cif,1754
DABDER_extracted.cif,172
DABDIV_extracted.cif,176
DAHFUP_extracted.cif,1334
DAHGAW_extracted.cif,2704
DAHGEA_extracted.cif,454
DAHGIE_extracted.cif,1484
DAHGOK_extracted.cif,1324
DAHGUQ_extracted.cif,1204
DAKKOQ_extracted.cif,940
DAKXEV_extracted.cif,1092
DALTES_extracted.cif,864
DALVUK_extracted.cif,432
DANZUP_extracted.cif,427
DAPBAZ_extracted.cif,333
DAPGUZ01_extracted.cif,1442
DAPGUZ02_extracted.cif,716
DAPGUZ03_extracted.cif,714
DAPGUZ_extracted.cif,714
DAQVUP_extracted.cif,638
DAQWAW_extracted.cif,1876
DARKOY_extracted.cif,348
DARKUE_extracted.cif,600
DATZUU_extracted.cif,452
DAVBAE_extracted.cif,444
DEBLOM_extracted.cif,390
DEBLUS_extracted.cif,1172
DEHDEB_extracted.cif,1732
DEHDIF_extracted.cif,5484
DEHDOL_extracted.cif,7292
DEHDUR_extracted.cif,1654
DEMWIC_extracted.cif,1096
DICYUM_extracted.cif,626
DICZAT_extracted.cif,282
DIJMOA_extracted.cif,720
DIJMUG_extracted.cif,2310
DIQQAV_extracted.cif,194
DIQQEZ_extracted.cif,194
DOBRIX_extracted.cif,5456
DOBROD_extracted.cif,2368
DOBRUJ_extracted.cif,892
DONJAT_extracted.cif,96
DOVMUW_extracted.cif,57
DUBJIU_extracted.cif,184
EBELUS_extracted.cif,706
ECAPIJ_extracted.cif,3132
ECOLUD_extracted.cif,648
EDIBIC_extracted.cif,608
EFUTAA_extracted.cif,878
EFUTEE_extracted.cif,3822
EGEFOM_extracted.cif,2350
EGIGIK_extracted.cif,210
EGIZOL_extracted.cif,2352
EGIZUR_extracted.cif,2024
EHARIO_extracted.cif,226
EHAROU_extracted.cif,198
EHARUA_extracted.cif,1024
EHIHIN_extracted.cif,1324
ELAVET_extracted.cif,200
ELUGIB_extracted.cif,1366
ELUPAD_extracted.cif,1088
EQESEA_extracted.cif,328
EQESIE_extracted.cif,336
EQESOK_extracted.cif,356
EQESUQ_extracted.cif,336
EQEVIG_extracted.cif,440
EQEVOM_extracted.cif,324
EQEVUS_extracted.cif,1608
EQEWAZ_extracted.cif,1868
ESADOS_extracted.cif,320
ESEYEG_extracted.cif,176
ESEYIK01_extracted.cif,180
ESEYIK_extracted.cif,180
ESEYOQ_extracted.cif,188
ESEYUW_extracted.cif,200
EVEBEO_extracted.cif,1250
EVEBIS_extracted.cif,1217
EVEBOY_extracted.cif,4362
EWIBUJ_extracted.cif,408
EWICAQ_extracted.cif,1684
EWICEU_extracted.cif,282
EWICIY_extracted.cif,1480
EWICOE_extracted.cif,672
EWICUK_extracted.cif,892
EWIGAT_extracted.cif,1780
EWIGEX_extracted.cif,842
EWIGIB_extracted.cif,421
EWIGOH_extracted.cif,924
EWIGUN_extracted.cif,1110
EWIHAU_extracted.cif,998
EWIHEY_extracted.cif,784
EWIHOI_extracted.cif,549
EWIHUO_extracted.cif,1024
EWUMUE_extracted.cif,1016
EYEVOV_extracted.cif,320
EYEVUB_extracted.cif,504
EYEWAI_extracted.cif,1704
EYIBUL_extracted.cif,1980
EZARUT_extracted.cif,176
EZASAA_extracted.cif,180
EZASEE_extracted.cif,96
EZEVAI_extracted.cif,516
EZEVEM_extracted.cif,1304
EZEVIQ_extracted.cif,1344
EZIYOB_extracted.cif,106
EZIZES_extracted.cif,184
EZOBAW_extracted.cif,180
FABQOO_extracted.cif,772
FADNAZ_extracted.cif,176
FAJQIT_extracted.cif,291
FAJQOZ_extracted.cif,291
FAJQUF_extracted.cif,648
FAJRAM_extracted.cif,576
FAJREQ_extracted.cif,1140
FAJRIU_extracted.cif,1248
FAKZIC_extracted.cif,960
FARNIY_extracted.cif,192
FATNUK_extracted.cif,1644
FATPAS_extracted.cif,717
FEBXUH_extracted.cif,2160
FECHOL_extracted.cif,492
FEMRUL_extracted.cif,332
FEMSEW_extracted.cif,1736
FENNET_extracted.cif,1620
FEQQEX_extracted.cif,108
FESJES_extracted.cif,446
FESLEU_extracted.cif,598
FEXCIW_extracted.cif,1970
FIBBOJ_extracted.cif,974
FIBTER_extracted.cif,1590
FIBTIV_extracted.cif,246
FILGEP_extracted.cif,2340
FINHIV_extracted.cif,468
FINHOB_extracted.cif,390
FIVFOG_extracted.cif,624
FIVFUM_extracted.cif,504
FIVGAT_extracted.cif,624
FIVGEX_extracted.cif,290
FIVGIB_extracted.cif,596
FIVGOH_extracted.cif,544
FOCVUP_extracted.cif,264
FOPFOG_extracted.cif,1821
FOPGAT_extracted.cif,1704
FOPGEX_extracted.cif,3088
FOPKEB_extracted.cif,480
FUDRUR10_extracted.cif,272
FUDRUR_extracted.cif,230
FUHXOX_extracted.cif,752
FUNCUN_extracted.cif,1676
GACVUC_extracted.cif,820
GAFHED_extracted.cif,1522
GAFHIH_extractedm.cif,2188
GAFHON_extracted.cif,1464
GAJWUM_extracted.cif,1157
GAKFIK_extracted.cif,1840
GAKFOQ_extracted.cif,3244
GARWUR_extracted.cif,3600
GARYAZ_extracted.cif,1152
GAWHUJ_extracted.cif,452
GAYLAW_extractedm.cif,13836
